Screen name,Name,NYT followers,All followers,Following ,Location,Bio
nytimes,The New York Times,591,15262305,975,New York City,"Where the conversation begins. Follow for breaking news, special reports, http://t.co/u15NNuLyJH homepage links and RTs of our journalists."
carr2n,david carr,520,467348,845,Jersey/NYC/Lincoln Tunnel,"David Carr, Media Equation column, blogs @ Decoder, covers pop culture at NYTimes. Tweets hi-low, news, whatnot. Author: Night of the Gun. http://t.co/fEFnmS7B"
nycjim,Jim Roberts,445,157176,1650,"iPhone: 40.751663,-73.989670","Executive editor & chief content officer of @Mashable; full-time student of the news, lover of social media & long-time follower of the Grateful Dead."
NateSilver538,Nate Silver,436,1136308,706,New York,"Editor-in-Chief, FiveThirtyEight. Author, The Signal and the Noise (http://t.co/9mLliQYI8N). Sports/politics/food geek."
SamSifton,Sam Sifton,436,124844,767,"Brooklyn, NY","Food Editor, The New York Times: http://t.co/GjB7LIgq1J. #NYTCooking"
brianstelter,Brian Stelter,428,268000,3958,New York City,CNN's senior media correspondent and host of @CNNReliable. Former @nytimes reporter. Wrote the NYT bestseller Top of the Morning. Email: bstelter@gmail.com
NewYorker,The New Yorker,427,4295884,291,"New York, NY","The New Yorker is a weekly magazine with a mix of reporting of politics and culture, humor and cartoons, fiction and poetry, and reviews and criticism."
romenesko,Romenesko,423,102066,1929,,
billkeller2014,Bill Keller,423,62111,242,New York,"Editor-in-chief, The Marshall Project, a non-profit newsroom covering crime and punishment in America @marshallproj"
Sulliview,Margaret Sullivan,423,30130,785,NYC,"New York Times public editor. First Amendment true believer. Former exec editor, Buffalo News. Teaching (& learning) @columbiajourn"
JillAbramson,Jill Abramson,399,35028,86,New York City,
DLeonhardt,David Leonhardt,398,61537,1028,"The New York Times, in D.C.","Now: editor, The Upshot, for NYT. Then: DC bureau chief, Here's the Deal e-book, Pulitzer for commentary, math major. Still: Jim Rice, ma la, Art Blakey"
lpolgreen,Lydia Polgreen,396,55219,928,"New York, NY",Bringing the New York Times to the world. polgreen@nytimes.com
deanbaquet,Dean Baquet,388,11639,74,new york city,Executive Editor of The New York Times
NickKristof,Nicholas Kristof,378,1563804,954,Everywhere,"NY Times columnist, co-author of Half the Sky & A Path Appears, http://t.co/bcxQaJYCMg Newsletter: http://t.co/EYhBhaKPv1"
sewellchan,Sewell Chan,368,22491,1260,New York City,"Deputy Editor, Op-Ed/Sunday Review, The New York Times. Follow us @nytopinion."
carolynryan,carolynryan,365,11105,2080,"Washington, D.C.","Washington Bureau Chief and Political Editor, NY Times. Blindly loyal to the Red Sox and the Simpsons. Lover of fiction, except in news stories."
amyoleary,Amy O'Leary,352,9078,3560,New York,@Upworthy Editorial Director. Former reporter/editor/multimedia/radio producer and @nytimes 2014 Innovation Report team. Tweets are ephemera.
JenniferPreston,Jennifer Preston,348,100858,6364,"Miami, Fla.","Thrilled to join @knightfdn as v.p. of journalism after 19 years @nytimes. Author, Queen Bess, the definitive bio of Bess Myerson. Preston@knightfoundation.org"
cjchivers,C.J. Chivers,345,46335,1795,,"Senior Writer, The New York Times, covering conflict, the arms trade and human rights. Author: THE GUN, a history of automatic arms & their influence on war."
lexim,Lexi Mainland,345,28304,1134,New York City,Journalist. Good secret keeper; bad liar. Red Sox native in Yankees territory. Alumna of @nytimes and @pbs.
ezraklein,Ezra Klein,338,735161,900,DC,"Editor-in-chief, http://t.co/hH5hVMv0KR. Policy analyst at MSNBC. Eater of food. Hater of filibuster. Lover of charts."
UpshotNYT,The Upshot,337,110426,278,"New York, NY","A New York Times website with analysis and data visualizations about politics, policy and everyday life. Newsletter: http://t.co/DclvAjp9cj"
palafo,"Patrick LaForge, NYT",334,29417,1109,New York City,"@nytimes's editor for News Presentation (copy editors, producers, researchers)."
NYTFridge,NYTFridge,329,10238,8423,"Somewhere on 8th Avenue, NYC","My contents reveal all. Email nytfridge at gmail dot com. Tweets do not suggest any affiliation with the NYT. 
 
 Winner of 2011 Stealth Tweet Award."
AP,The Associated Press,321,4706610,7347,Global,"News, discussion and behind-the-scenes insight from The Associated Press. Managed 24/7 by a team of editors based in New York: http://t.co/qej5Fpwahh"
sarahlyall,Sarah Lyall,321,18340,768,New York,New York Times writer at large; re-planted New Yorker
fisheri,Ian Fisher,320,2981,2494,New York,Deputy Executive Editor of The New York Times. Webbish.
ProPublica,ProPublica,316,351416,207,"New York, NY","We're a nonprofit, independent newsroom that produces investigative journalism in the public interest. Tweets by @terryparrisjr @amzam @anniezyu."
ravisomaiya,Ravi Somaiya,311,17921,612,,"Reporter, The New York Times. Ex-Londoner."
juliebosman,Julie Bosman,310,34907,1273,Chicago,National correspondent covering the Midwest for The New York Times.
samdolnick,Sam Dolnick,307,3807,1281,,NYT. mobile. condiments. sam.dolnick[at]nytimes[dot]com
jswatz,John Schwartz,305,8868,1685,"New York, NY",I work with my hands. NYT Beat: climate change. Wrote Oddly Normal http://t.co/7rpsnkiIsH Galveston BOI. Retweets are like those clippings your mom sends
mikeallen,Mike Allen,304,255800,94487,"Rosslyn, Va.","Chief White House correspondent, POLITICO"
WSJ,Wall Street Journal,300,5812507,990,"New York, NY",Breaking news and features from the WSJ. Tweets by @elanazak @allisonlichter @sarahmarshall @toddjolmstead and @carlazanoni.
NiemanLab,Nieman Lab,298,179282,814,"Cambridge, Mass.",We are the Nieman Journalism Lab at Harvard. We're trying to figure out the future of news.
nickconfessore,Nick Confessore,294,51960,990,,"Political reporter for The New York Times. Retweets = death threats. Yes, I do look a little like Pete Campbell in this picture."
mikiebarb,Michael Barbaro,291,14790,803,"New York, NY","Political reporter for The New York Times. I make a mean roasted chicken, I'm told. Email me at barbaro@nytimes.com"
damiencave,Damien Cave,288,15433,1702,Nueva York,"New York Times Deputy National Editor. Formerly known as a correspondent in Mexico City, Miami, Baghdad, Newark."
lisatozzi,Lisa Tozzi,288,14472,2228,"New York, N.Y.","News Director, BuzzFeed News. NYTimes alumna. The Master of Disaster. The King of Sting. The Count of Monte Fisto. lisa.tozzi@buzzfeed.com"
andyrNYT,Andrew Rosenthal,287,21014,393,New York,Editorial Page Editor of The New York Times
marclacey,Marc Lacey,287,5194,1649,"New York, NY","Associate Editor/Weekends @nytimes | Ex-Deputy Foreign Editor | Correspondent in Nairobi, Mexico City, Washington, Phoenix and Los Angeles"
jennydeluxe,Jenna Wortham,285,548253,1431,Brooklyn,//\\ Staff writer at New York Times Magazine \\// ‡ ◉ ‡ || ◉ || ‡ ◉ ‡ #yba
BuzzFeedBen,Ben Smith,285,200656,2329,"Brooklyn, NY",BuzzFeed Editor-in-Chief. Beats working for a living. Email or gchat me at ben@buzzfeed.com. AIM benobserver.
jackshafer,Jack Shafer,283,46723,660,"Washington, DC","Politico. Formerly Reuters, Slate, SFWeekly, Washington City Paper, Inquiry. Email list: http://t.co/qS6GJKmn8c RSS: http://t.co/gIrIllsnpY"
TheOnion,The Onion,282,6952806,12,,America's Finest News Source. Subscribe on YouTube: http://t.co/5h833w1KO1
michaelluo,Michael Luo,281,19651,1598,new york,"deputy metropolitan editor, new york times, running investigations and projects team; recovering former reporter"
